Funding OrgName,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
AHRC,0,1,0,2,6,5,4,10,28,30,23,12,20,16,16,23,7
BBSRC,3,5,8,24,33,32,52,52,87,100,173,150,172,111,74,43,14
EPSRC,8,17,26,27,62,107,148,171,261,347,376,366,337,374,403,292,95
ESRC,2,3,0,5,1,5,15,8,19,40,26,35,30,23,16,19,6
MRC,13,6,10,15,8,9,17,43,72,83,92,100,117,106,117,90,11
NERC,2,0,3,5,3,12,16,31,50,74,70,46,62,88,147,61,41
STFC,10,0,0,1,33,0,4,26,30,32,34,51,57,98,56,24,5
UKRI,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,15,9
