,0,% of total urls
Github,1263,17.46404867256637
Bitbucket,76,1.0508849557522124
GitLab,39,0.5392699115044248
SourceForge,64,0.8849557522123894
Google Code,21,0.2903761061946903
other,6,0.08296460176991151
