,0,% of total software
Github,1620,18.024032042723633
Bitbucket,78,0.8678237650200267
GitLab,54,0.6008010680907877
SourceForge,66,0.7343124165554072
Google Code,20,0.22251891410769917
other,14,0.1557632398753894
